Rank,Release Group,Worldwide,year,Domestic %,Foreign %,Domestic (in $),Foreign (in $)
218,Kingsman: The Secret Service,414351546,2015,0.3095480763573644,0.6904519236426355,128261724,286089822
219,Pacific Rim,411002906,2013,0.24769388370212642,0.7523061162978736,101802906,309200000
220,Kingsman: The Golden Circle,410902662,2017,0.24393815681826855,0.7560618431817314,100234838,310667824
221,The Mummy,409231607,2017,0.196045206742792,0.803954793257208,80227895,329003712
222,Ice Age: Collision Course,408579038,2016,0.15679465180981703,0.843205348190183,64063008,344516030
223,Signs,408247917,2002,0.5584024425040728,0.44159755749592716,227966634,180281283
224,X2: X-Men United,407711549,2003,0.5272102164562427,0.4727897835437573,214949694,192761855
225,Alita: Battle Angel,404852543,2019,0.21170722892062951,0.7882927710793705,85710210,319142333
226,Prometheus,403354469,2012,0.3135631156227502,0.6864368843772498,126477084,276877385
227,TRON: Legacy,400062763,2010,0.4300894232438224,0.5699105767561776,172062763,228000000
228,Mission: Impossible III,398479497,2005,0.33635306711903423,0.6636469328809658,134029801,264449696
229,Snow White and the Huntsman,396592829,2012,0.39166714484391246,0.6083328551560876,155332381,241260448
230,Mamma Mia! Here We Go Again,395044706,2018,0.3053703369967449,0.6946296630032551,120634935,274409771
231,Solo: A Star Wars Story,392924807,2018,0.5440417815106289,0.4559582184893712,213767512,179157295
232,The Wolf of Wall Street,392000694,2013,0.2982155281592435,0.7017844718407565,116900694,275100000
233,Independence Day: Resurgence,389681935,2016,0.26468839516514925,0.7353116048348508,103144286,286537649
234,Monster Hunt,387053506,2015,8.465496240718718e-05,0.9999153450375928,32766,387020740
235,Godzilla: King of the Monsters,386600138,2019,0.2858253971963145,0.7141746028036855,110500138,276100000
236,Home,386041607,2015,0.45952950869360565,0.5404704913063944,177397510,208644097
237,Cars 3,383930656,2017,0.3982519046356121,0.6017480953643879,152901115,231029541
238,Ice Age,383257136,2002,0.4602325395449388,0.5397674604550612,176387405,206869731
239,Fifty Shades Darker,381545846,2017,0.3003079477898444,0.6996920522101556,114581250,266964596
240,Taken 2,376141306,2012,0.3718131584304118,0.6281868415695883,139854287,236287019
241,G.I. Joe: Retaliation,375740705,2013,0.3260840743884802,0.6739159256115198,122523060,253217645
242,Spider-Man: Into the Spider-Verse,375540831,2018,0.5065795628491859,0.49342043715081413,190241310,185299521
243,Mad Max: Fury Road,374736354,2015,0.4099851865453118,0.5900148134546882,153636354,221100000
244,Shark Tale,374583879,2004,0.42944162047080514,0.5705583795291949,160861908,213721971
245,Once Upon a Time... in Hollywood,374343626,2019,0.38067357930651663,0.6193264206934834,142502728,231840898
246,What Women Want,374111707,2000,0.4886554031307018,0.5113445968692982,182811707,191300000
247,The Adventures of Tintin,373993951,2011,0.20746814431766036,0.7925318556823396,77591831,296402120
248,Penguins of Madagascar,373515621,2014,0.22449104210289508,0.775508957897105,83850911,289664710
249,Fifty Shades Freed,371985018,2018,0.26992420431298125,0.7300757956870187,100407760,271577258
250,Batman Begins,371853783,2005,0.552216444709398,0.44778355529060193,205343774,166510009
251,Hitch,371594210,2005,0.48304185094810814,0.5169581490518919,179495555,192098655
252,Captain America: The First Avenger,370569774,2011,0.4767105074252494,0.5232894925747505,176654505,193915269
253,Edge of Tomorrow,370541256,2014,0.2704321162013873,0.7295678837986127,100206256,270335000
254,Gone Girl,369330363,2014,0.4542469447604014,0.5457530552395986,167767189,201563174
255,Jurassic Park III,368780809,2001,0.49127251358679025,0.5087274864132098,181171875,187608934
256,My Big Fat Greek Wedding,368744044,2002,0.6547582582784713,0.34524174172152866,241438208,127305836
257,1917,368027644,2019,0.4326513146387449,0.567348685361255,159227644,208800000
258,Shazam!,365971656,2019,0.3835588185550632,0.6164411814449369,140371656,225600000
259,The Nun,365550119,2018,0.32129689718415877,0.6787031028158412,117450119,248100000
260,Night at the Museum: Secret of the Tomb,363204635,2014,0.313175025973994,0.6868249740260061,113746621,249458014
261,Ocean's Twelve,362744280,2004,0.34609582265501193,0.6539041773449881,125544280,237200000
262,Planet of the Apes,362211740,2001,0.4969793082907804,0.5030206917092196,180011740,182200000
263,The Hangover Part III,362000072,2013,0.3099448886297459,0.6900551113702541,112200072,249800000
264,Monster Hunt 2,361682618,2018,0.0019524106629862981,0.9980475893370137,706153,360976465
265,Noah,359200044,2014,0.28173728174710355,0.7182627182528964,101200044,258000000
266,The Karate Kid,359126022,2010,0.4917260437340294,0.5082739562659706,176591618,182534404
267,Your Name.,358922706,2016,0.013978625247520563,0.9860213747524794,5017246,353905460
268,Hotel Transylvania,358375603,2011,0.4138480598524448,0.5861519401475552,148313048,210062555
269,Minority Report,358372926,2002,0.3685348875936013,0.6314651124063987,132072926,226300000
270,The Legend of Tarzan,356700357,2016,0.3550404660794887,0.6449595339205113,126643061,230057296
271,The Great Gatsby,353641895,2013,0.40956804340164504,0.5904319565983549,144840419,208801476
272,Dumbo,353284621,2019,0.32485508900768145,0.6751449109923185,114766307,238518314
273,"I, Robot",353133898,2004,0.4100456620564928,0.5899543379435072,144801023,208332875
